stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1014O00017C0,,"Joaquim Murtinho, 654",,-22.916040,-43.184270,,,0,,,,
1014O00007C0,,"Joaquim Murtinho, 641",,-22.916110,-43.184160,,,0,,,,
1014O00016C0,,"Joaquim Murtinho, 514",,-22.916233,-43.182977,,,0,,,,
1010O00077C0,,Praça Professora Alice Brasil,,-22.909310,-43.226310,,,0,,,,
1010O00071C0,,São Cristóvão,,-22.900610,-43.217460,,,0,,,,
1012O00046C0,,São Luiz Gonzaga,,-22.897954,-43.237343,,,0,,,,
1010O00103C0,,Estação São Cristóvão :: Norte,,-22.909238,-43.222916,,,0,,,,
1012O00040C0,,Dom Hélder Câmara,,-22.888910,-43.244451,,,0,,,,
1012O00047C0,,Senador Domício Barreto,,-22.891020,-43.236810,,,0,,,,
1012O00048C0,,Praça Padre Souza,,-22.889400,-43.234820,,,0,,,,
1010O00050C0,,Brasil,,-22.895780,-43.215210,,,0,,,,
1012O00024C0,,Capitão Félix,,-22.890590,-43.234550,,,0,,,,
1010O00054C0,,Centro de Tradições Nordestinas - Acesso Padre Cícero,,-22.897160,-43.221960,,,0,,,,
1010O00062C9,,São Luiz Gonzaga,,-22.899950,-43.229544,,,0,,,,
1010O00057C0,,Centro de Tradições Nordestinas - Acesso Luiz Gonzaga,,-22.898528,-43.219336,,,0,,,,
1010O00068C9,,Emancipação,,-22.899786,-43.228369,,,0,,,,
1010O00072C0,,Pedro II,,-22.904485,-43.214703,,,0,,,,
1010O00073C0,,Hermes Fontes,,-22.901864,-43.216433,,,0,,,,
1010O00038C0,,Escola Municipal Marechal Trompowsky,,-22.908374,-43.231002,,,0,,,,
1011O00013C0,,Hospital Municipal Barata Ribeiro,,-22.900272,-43.240780,,,0,,,,
1012O00044C0,,Aloysio Amancio,,-22.890670,-43.241930,,,0,,,,
1012O00009C1,,Santo Antônio,,-22.885330,-43.252210,,,0,,,,
1012O00043C0,,Largo de Benfica,,-22.891622,-43.240485,,,0,,,,
1012O00037C0,,São Luiz Gonzaga,,-22.894060,-43.239860,,,0,,,,
1012O00034C0,,Pereira Lopes,,-22.894430,-43.238660,,,0,,,,
